test
2024-08-22_01:58:20 Failed to pull k8s.gcr.io/ingress-nginx/controller:v0.45.0
2024-08-22_01:58:20 push docker.io/library/nginx:latest to registry.cn-shanghai.aliyuncs.com/sh-docker-images/nginx:latest success
2024-08-22_02:14:47 Failed to pull k8s.gcr.io/ingress-nginx/controller:v0.45.0
2024-08-22_02:14:47 push docker.io/library/nginx:latest to registry.cn-shanghai.aliyuncs.com/sh-docker-images/nginx:latest success
2024-08-22_02:36:41 push registry.k8s.io/pause:3.9  to registry.cn-shanghai.aliyuncs.com/sh-docker-images/pause:3.9 success
2024-08-22_02:36:56 push docker.io/library/nginx:latest to registry.cn-shanghai.aliyuncs.com/sh-docker-images/nginx:latest success
2024-08-22_02:37:06 push docker.io/library/centos:7 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/centos:7 success
2024-08-22_02:48:47 push registry.k8s.io/pause:3.9  to registry.cn-shanghai.aliyuncs.com/sh-docker-images/pause:3.9 success
2024-08-22_02:48:53 push docker.io/library/nginx:latest to registry.cn-shanghai.aliyuncs.com/sh-docker-images/nginx:latest success
2024-08-22_02:49:02 push docker.io/library/centos:7 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/centos:7 success
2024-08-23_09:09:19 push registry.k8s.io/pause:3.9  to registry.cn-shanghai.aliyuncs.com/sh-docker-images/pause:3.9 success
2024-08-23_09:09:24 push docker.io/library/nginx:latest to registry.cn-shanghai.aliyuncs.com/sh-docker-images/nginx:latest success
2024-08-23_09:09:33 push docker.io/library/centos:7 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/centos:7 success
2024-08-23_09:09:41 push docker.io/library/python:3.12 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/python:3.12 success
2024-09-12_02:14:55 push registry.k8s.io/pause:3.9  to registry.cn-shanghai.aliyuncs.com/sh-docker-images/pause:3.9 success
2024-09-12_02:15:02 push docker.io/apache/rocketmq-exporter:0.0.2 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/rocketmq-exporter:0.0.2 success
2024-10-12_06:36:27 push registry.k8s.io/pause:3.9  to registry.cn-shanghai.aliyuncs.com/sh-docker-images/pause:3.9 success
2024-10-12_06:36:33 push docker.io/apache/rocketmq-exporter:0.0.2 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/rocketmq-exporter:0.0.2 success
2024-10-12_06:36:43 push docker.io/ahahavip/rocketmq-dashboard:1.0.0-arm64 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/rocketmq-dashboard:1.0.0-arm64 success
2024-11-20_08:19:54 push registry.k8s.io/pause:3.9 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/pause:3.9 success
2024-11-20_08:19:59 push registry.k8s.io/prometheus-adapter/prometheus-adapter:v0.12.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/prometheus-adapter:v0.12.0 success
2024-11-20_08:21:49 push registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.14.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/kube-state-metrics:v2.14.0 success
2024-11-20_08:22:14 push docker.io/apache/rocketmq-exporter:0.0.2 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/rocketmq-exporter:0.0.2 success
2024-11-20_08:22:24 push docker.io/ahahavip/rocketmq-dashboard:1.0.0-arm64 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/rocketmq-dashboard:1.0.0-arm64 success
2025-03-04_07:06:06 push docker.io/apache/skywalking-ui:10.1.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/skywalking-ui:10.1.0 success
2025-03-04_08:58:33 push docker.io/apache/skywalking-ui:10.1.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/skywalking-ui:10.1.0 success
2025-03-04_08:58:44 push docker.io/apache/skywalking-oap-server:10.1.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/skywalking-oap-server:10.1.0 success
2025-03-04_09:23:15 push docker.io/apache/skywalking-ui:10.1.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/skywalking-ui:10.1.0 success
2025-03-04_09:23:27 push docker.io/apache/skywalking-oap-server:10.1.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/skywalking-oap-server:10.1.0 success
2025-03-04_09:31:07 push docker.io/nginx:1.27.4 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/nginx:1.27.4 success
2025-03-04_09:31:34 push docker.io/apache/skywalking-ui:10.1.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/skywalking-ui:10.1.0 success
2025-03-04_09:43:04 push docker.io/nginx:1.26.3 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/nginx:1.26.3 success
2025-03-04_09:50:17 push docker.io/nginx:1.26.3 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/nginx:1.26.3 success
2025-03-04_09:50:35 push docker.io/apache/skywalking-ui:10.0.0 to registry.cn-shanghai.aliyuncs.com/sh-docker-images/skywalking-ui:10.0.0 success
2025-03-11_08:57:23 push docker.io/python:3.13-slim to registry.cn-shanghai.aliyuncs.com/sh-docker-images/python:3.13-slim success
